base,quote,date,rate
EUR,AUD,2026-06-18,1.6362
EUR,BRL,2026-06-18,5.8989
EUR,CAD,2026-06-18,1.6189
EUR,CHF,2026-06-18,0.9218
EUR,CNY,2026-06-18,7.7609
EUR,CZK,2026-06-18,24.181
EUR,DKK,2026-06-18,7.4747
EUR,GBP,2026-06-18,0.86638
EUR,HKD,2026-06-18,8.9827
EUR,HUF,2026-06-18,352.8
EUR,IDR,2026-06-18,20487.11
EUR,ILS,2026-06-18,3.3734
EUR,INR,2026-06-18,108.1155
EUR,ISK,2026-06-18,144.4
EUR,JPY,2026-06-18,184.44
EUR,KRW,2026-06-18,1763.72
EUR,MXN,2026-06-18,19.9323
EUR,MYR,2026-06-18,4.7191
EUR,NOK,2026-06-18,11.105
EUR,NZD,2026-06-18,1.9889
EUR,PHP,2026-06-18,69.492
EUR,PLN,2026-06-18,4.258
EUR,RON,2026-06-18,5.2393
EUR,SEK,2026-06-18,10.9845
EUR,SGD,2026-06-18,1.4795
EUR,THB,2026-06-18,37.581
EUR,TRY,2026-06-18,53.2312
EUR,USD,2026-06-18,1.1461
EUR,ZAR,2026-06-18,18.8311
